sent0,sent1,neg1,neg2,neg3,neg4,neg5,neg6,neg7,neg8,neg9,neg10,neg11,neg12,neg13,neg14,neg15,neg16,neg17,neg18,neg19,neg20
 Identification of BRCA1 should facilitate early diagnosis of breast and ovarian cancer susceptibility in some individuals as well as a better understanding of breast cancer biology,breast cancer is a disease,better understanding of is a disease,diagnosis is a disease,and ovarian cancer is a disease, is a disease,and is a disease,some individuals as is a disease,better understanding is a disease,Identification of BRCA1 is a disease,of BRCA1 is a disease,diagnosis of is a disease,a better is a disease,Identification of is a disease,cancer is a disease,breast and is a disease,ovarian cancer susceptibility is a disease,of breast and is a disease,should is a disease,as is a disease,cancer susceptibility is a disease,of is a disease
 Identification of BRCA1 should facilitate early diagnosis of breast and ovarian cancer susceptibility in some individuals as well as a better understanding of breast cancer biology,breast and ovarian cancer is a disease,understanding of breast is a disease,in is a disease,Identification is a disease,in some is a disease,diagnosis of breast is a disease,as well is a disease,in some individuals is a disease, Identification is a disease,of BRCA1 should is a disease, Identification of is a disease,of breast is a disease,understanding is a disease,BRCA1 should is a disease,as well as is a disease,susceptibility in some is a disease,and ovarian is a disease,BRCA1 is a disease,breast cancer biology is a disease,facilitate early diagnosis is a disease,of breast cancer is a disease
Recombinations in individuals homozygous by descent localize the Friedreich ataxia locus in a cloned 450-kb interval,Friedreich ataxia is a disease,individuals is a disease,homozygous by descent is a disease,Recombinations in is a disease,a is a disease,Friedreich ataxia locus is a disease,homozygous by is a disease,individuals homozygous is a disease,localize the Friedreich is a disease,localize the is a disease,Friedreich is a disease,cloned is a disease,descent localize is a disease,a cloned is a disease,in individuals is a disease,localize is a disease,individuals homozygous by is a disease,locus in is a disease,Recombinations in individuals is a disease,ataxia locus in is a disease,cloned 450-kb is a disease
" The locus for Friedreich ataxia (FRDA), a severe neurodegenerative disease, is tightly linked to markers D9S5 and D9S15, and analysis of rare recombination events has suggested the order cen-FRDA-D9S5-D9S15-qter",neurodegenerative disease is a disease,The is a disease,events is a disease,"D9S15, is a disease",and is a disease,D9S5 and is a disease,tightly is a disease,suggested the order is a disease,a is a disease,ataxia is a disease,"ataxia (FRDA), is a disease",recombination is a disease,tightly linked is a disease,markers is a disease,of rare recombination is a disease,markers D9S5 is a disease,for Friedreich ataxia is a disease,to markers D9S5 is a disease,analysis of is a disease,"ataxia (FRDA), a is a disease",order cen-FRDA-D9S5-D9S15-qter is a disease
" The locus for Friedreich ataxia (FRDA), a severe neurodegenerative disease, is tightly linked to markers D9S5 and D9S15, and analysis of rare recombination events has suggested the order cen-FRDA-D9S5-D9S15-qter",Friedreich ataxia is a disease,for is a disease,severe is a disease,and analysis of is a disease,markers D9S5 and is a disease,analysis is a disease,cen-FRDA-D9S5-D9S15-qter is a disease,events has is a disease,neurodegenerative is a disease,recombination events has is a disease,rare recombination is a disease,has is a disease,"D9S15, and is a disease",analysis of rare is a disease,"disease, is tightly is a disease",suggested the is a disease,and analysis is a disease,linked is a disease,The locus for is a disease,rare recombination events is a disease,of is a disease
" The locus for Friedreich ataxia (FRDA), a severe neurodegenerative disease, is tightly linked to markers D9S5 and D9S15, and analysis of rare recombination events has suggested the order cen-FRDA-D9S5-D9S15-qter",FRDA is a disease,D9S5 is a disease,"D9S5 and D9S15, is a disease","severe neurodegenerative disease, is a disease",order is a disease,the order is a disease,has suggested is a disease, The locus is a disease,linked to markers is a disease,the is a disease,locus for Friedreich is a disease,a severe neurodegenerative is a disease, The is a disease, is a disease,"D9S15, and analysis is a disease","Friedreich ataxia (FRDA), is a disease",linked to is a disease,locus is a disease,a severe is a disease,the order cen-FRDA-D9S5-D9S15-qter is a disease,suggested is a disease
" In order to map these markers with respect to the FRDA locus, all within a 1-cM confidence interval, we sought to increase the genetic information of available FRDA families by considering homozygosity by descent and association with founder haplotypes in isolated populations",FRDA is a disease,"locus, all within is a disease",and is a disease,of available is a disease,within a is a disease,increase the is a disease,sought to increase is a disease,the is a disease,considering homozygosity by is a disease,a 1-cM is a disease,with founder is a disease,available is a disease,increase the genetic is a disease,association with is a disease,haplotypes in isolated is a disease,families by considering is a disease,to increase is a disease,we sought to is a disease,"the FRDA locus, is a disease",sought to is a disease,isolated is a disease
" This approach allowed us to identify one phase-known recombination and one probable historic recombination on haplotypes from Reunion Island patients, both of which place three of the five markers proximal to FRDA",FRDA is a disease,allowed us to is a disease,from Reunion Island is a disease,haplotypes from Reunion is a disease,approach allowed us is a disease,both is a disease,This approach is a disease,recombination on is a disease,"patients, both is a disease", is a disease,the five markers is a disease,phase-known is a disease,probable historic is a disease,This is a disease,identify one phase-known is a disease,historic is a disease,three of the is a disease,from is a disease,on haplotypes is a disease,and one is a disease,phase-known recombination and is a disease
 This represents the first identification of close FRDA flanking markers on the centromeric side,FRDA is a disease,close FRDA is a disease,of close is a disease,This represents is a disease,the centromeric is a disease,side is a disease,centromeric is a disease,markers on the is a disease,the first is a disease,flanking markers is a disease,on the centromeric is a disease,This is a disease,This represents the is a disease,identification of is a disease,markers is a disease,the centromeric side is a disease,markers on is a disease,of close FRDA is a disease,represents the first is a disease,on the is a disease, is a disease
" Taken together, the results place the FRDA locus in a 450-kb interval, which is small enough for direct search of candidate genes",FRDA is a disease,search of is a disease,"450-kb interval, is a disease",locus in a is a disease,place the is a disease,in a is a disease,direct is a disease,in a 450-kb is a disease,enough for is a disease,of candidate is a disease,locus is a disease,"a 450-kb interval, is a disease",small is a disease,"Taken together, the is a disease",candidate genes is a disease,search of candidate is a disease,450-kb is a disease,results is a disease,place is a disease,of is a disease,FRDA locus is a disease
Further mapping of an ataxia-telangiectasia locus to the chromosome 11q23 region,ataxia-telangiectasia is a disease,mapping of is a disease,11q23 region is a disease,to the is a disease,chromosome is a disease,11q23 is a disease,locus to the is a disease,to is a disease,Further mapping is a disease,Further mapping of is a disease,chromosome 11q23 region is a disease,to the chromosome is a disease,the chromosome 11q23 is a disease,chromosome 11q23 is a disease,an ataxia-telangiectasia locus is a disease,the is a disease,locus to is a disease,locus is a disease,of an ataxia-telangiectasia is a disease,an is a disease,an ataxia-telangiectasia is a disease
